data,time,SW dir,SW dif,LW,Abs.Air Temperature,Rel.Humidity,wind speed,wind direction,Precipitation
19.4.2025,0:00:00,0,0,535.04,282.25,87,3.5,25,0
19.4.2025,1:00:00,0,0,532.91,282.15,86,2.2,356,0
19.4.2025,2:00:00,0,0,535.4,282.35,86,2.3,13,0
19.4.2025,3:00:00,0,0,532.91,282.15,86,2.7,15,0
19.4.2025,4:00:00,0,0,532.55,282.05,87,1.8,19,0
19.4.2025,5:00:00,0,0,535.4,282.35,86,1.2,13,0
19.4.2025,6:00:00,0.81,0.27,540.54,282.55,89,0.8,177,0
19.4.2025,7:00:00,57.41,19.14,546.91,282.85,92,1.4,281,0
19.4.2025,8:00:00,193.91,64.64,553.71,283.45,91,1.6,287,0
19.4.2025,9:00:00,349.8,116.6,560.43,284.25,87,1.2,209,0
19.4.2025,10:00:00,490.1,163.37,589.19,287.45,74,2.3,165,0
19.4.2025,11:00:00,598.22,199.4,614.58,290.05,66,4.6,158,0
19.4.2025,12:00:00,664.77,221.59,631.04,291.85,60,3.3,176,0
19.4.2025,13:00:00,682.52,227.51,652.48,294.05,54,4.8,180,0
19.4.2025,14:00:00,650.03,216.68,662.54,294.75,54,4.7,154,0
19.4.2025,15:00:00,567.2,189.07,674.53,295.95,51,5.3,130,0
19.4.2025,16:00:00,452.49,150.83,678.93,296.25,51,5,142,0
19.4.2025,17:00:00,309.74,103.25,669.79,295.25,54,6.6,156,0
19.4.2025,18:00:00,157.46,52.49,665.28,294.25,60,5.3,162,0
19.4.2025,19:00:00,34.39,11.46,652.37,292.45,69,5.1,161,0
19.4.2025,20:00:00,0,0,641.92,290.85,79,3.4,164,0
19.4.2025,21:00:00,0,0,632.2,289.85,83,2,173,0
19.4.2025,22:00:00,0,0,624.76,288.95,88,1.8,147,0
19.4.2025,23:00:00,0,0,615.15,288.05,91,2.1,243,0
20.4.2025,0:00:00,0,0,591.49,286.75,85,2.3,238,0
20.4.2025,1:00:00,0,0,577.91,286.35,77,1.8,235,0
20.4.2025,2:00:00,0,0,567.44,285.55,77,2.7,218,0
20.4.2025,3:00:00,0,0,562.26,285.15,77,2.2,241,0
20.4.2025,4:00:00,0,0,557.12,284.75,77,1.6,232,0
20.4.2025,5:00:00,0.6,0.2,552.48,284.15,80,2,272,0
20.4.2025,6:00:00,40.65,13.55,552.19,284.05,81,1.6,244,0
20.4.2025,7:00:00,163.43,54.48,565.05,285.05,81,1,210,0
20.4.2025,8:00:00,332.25,110.75,604.72,288.35,77,1.2,272,0
20.4.2025,9:00:00,471.6,157.2,649.9,293.75,55,5.9,162,0
20.4.2025,10:00:00,579.6,193.2,665.43,294.95,54,5.6,136,0
20.4.2025,11:00:00,629.62,209.88,678.25,295.95,53,7.6,147,0
20.4.2025,12:00:00,650.1,216.7,676.88,296.65,47,7.3,159,0
20.4.2025,13:00:00,582.38,194.12,687.18,297.35,47,9.6,139,0
20.4.2025,14:00:00,388.12,129.38,679.99,297.15,45,9.6,150,0
20.4.2025,15:00:00,266.55,88.85,690.99,297.75,46,9,170,0
20.4.2025,16:00:00,153.6,51.2,685.35,296.95,49,9.2,190,0
20.4.2025,17:00:00,69,23,687.46,296.45,54,6.2,176,0
20.4.2025,18:00:00,12.3,4.1,678.25,295.95,53,5.6,162,0
20.4.2025,19:00:00,0,0,675.95,295.55,55,4.2,128,0
20.4.2025,20:00:00,0,0,669.33,294.75,58,2.5,133,0
20.4.2025,21:00:00,0,0,666.73,294.35,60,2.5,181,0
20.4.2025,22:00:00,0,0,663.51,294.35,58,4.1,159,0
20.4.2025,23:00:00,0,0,658.98,294.15,57,4,170,0
