ID,PET,TSV,TAV,Tg,Ta,Va
1,26.9,0,1,26.6,18.9,0.86
2,27.4,0,1,25.3,21.2,0.47
3,25.1,-1,1,30.1,20.2,1.04
4,32.5,1,1,31.3,24.3,0.46
5,32.2,1,1,33.1,21.4,1.09
6,37.2,2,0,26.7,23.1,0.1
7,26.6,0,1,31.4,22.4,1.2
8,33.5,0,1,29.4,24.1,1.23
9,30.3,1,1,32.5,23.4,0.49
10,33.9,0,1,28.9,24.4,0.65
11,29.1,0,1,32.4,25.1,2.0
12,35.3,1,1,32.4,25.1,2.0
13,35.2,2,0,33.2,21.8,1.1
14,38.7,3,0,30.3,23.3,2.5
15,32.4,1,1,36.9,23.9,0.6
16,39.9,3,0,28.0,23.0,0.3
17,27.8,0,1,27.5,23.7,2.1
18,25.6,0,1,35.2,26.0,0.6
19,37.2,2,0,29.4,25.8,0.6
20,29.3,0,1,29.4,25.8,0.6
21,29.6,0,1,30.3,24.0,2.0
22,31.6,1,1,35.2,26.0,0.6
23,37.3,2,0,29.1,22.7,2.1
24,30.5,0,1,30.3,22.4,2.4
25,34.8,1,1,25.2,24.3,0.6
26,24.1,0,1,25.2,24.3,0.6
27,24.1,0,1,36.0,25.0,0.9
28,39.6,3,0,36.0,25.0,0.9
29,40.0,3,0,28.5,26.8,0.9
30,27.5,0,1,28.5,26.8,0.9
31,27.5,0,1,36.0,25.0,0.9
32,39.9,3,0,35.4,25.5,0.5
33,37.6,2,0,38.3,28.0,1.1
34,42.4,2,0,31.6,25.2,0.8
35,33.0,0,1,33.2,24.4,1.3
36,36.5,2,0,34.5,26.1,1.2
37,42.6,3,0,34.6,27.3,1.4
38,39.5,3,0,34.3,26.0,1.3
39,37.4,2,0,33.4,26.3,0.7
40,35.1,1,0,35.0,27.1,1.3
41,38.1,3,0,32.1,27.7,0.6
42,32.6,1,1,35.0,27.1,1.3
43,38.5,3,0,35.0,27.1,1.3
44,38.1,3,0,39.9,29.7,0.5
45,42.7,3,0,32.7,27.1,0.5
46,33.5,0,1,39.9,29.7,0.5
47,42.3,3,0,31.2,27.3,0.8
48,31.8,1,1,28.2,25.5,1.7
49,27.2,0,1,28.8,26.7,2.3
50,27.3,0,1,30.3,27.4,3.3
51,30.2,0,1,28.2,24.5,1.6
52,27.3,0,1,26.9,26.5,1.4
53,25.1,0,1,26.9,26.5,1.4
54,25.0,0,1,26.9,26.5,1.4
55,25.1,0,1,26.6,25.6,0.7
56,25.1,0,1,26.6,25.6,0.7
57,25.1,0,1,26.6,25.6,0.7
58,25.1,0,1,26.6,25.6,0.7
59,25.6,0,1,26.6,25.6,0.7
60,25.4,0,1,27.9,24.8,1.5
61,26.7,0,1,27.9,24.8,1.3
62,27.2,0,1,26.8,26.1,2.4
63,23.4,-2,1,27.4,25.3,2.4
64,24.6,0,1,27.1,25.2,0.6
65,26.2,0,1,27.1,25.2,1.3
66,25.6,0,1,25.5,24.4,1.8
67,23.8,-1,1,26.8,24.4,1.2
68,25.4,0,1,24.7,23.9,1.1
69,22.9,-1,1,26.2,24.6,2.1
70,23.6,-2,1,26.2,24.6,2.1
71,24.1,0,1,26.3,24.5,2.2
72,24.3,-1,1,26.3,24.7,2.1
73,24.2,-1,1,24.8,22.7,2.0
74,22.8,-1,1,25.7,24.3,2.1
75,23.4,-1,1,24.7,20.7,2.4
76,23.6,-1,1,24.9,20.2,1.6
77,24.2,-1,1,26.4,24.7,2.0
78,24.5,-1,1,24.1,20.3,1.3
79,22.1,-2,1,24.1,21.2,1.7
80,22.3,-1,1,36.2,31.2,0.5
81,37.2,2,0,30.1,28.6,0.8
82,29.1,1,1,41.5,33.4,1.2
83,46.6,3,0,37.7,34.0,1.0
84,39.4,3,0,36.7,31.7,0.6
85,38.1,3,0,36.4,34.1,3.5
86,37.9,2,0,33.5,32.0,0.4
87,33.3,1,1,35.2,32.0,0.4
88,35.5,2,0,35.7,30.9,0.3
89,36.1,2,0,31.5,31.0,2.5
90,29.5,1,1,41.5,33.5,1.2
91,48.1,3,0,33.2,31.3,1.2
92,33.0,1,1,35.2,32.0,0.4
93,35.5,2,1,37.7,34.0,1.0
94,39.4,3,0,31.5,31.0,2.5
95,30.4,1,1,32.8,34.1,1.2
96,31.0,1,1,35.2,32.1,1.7
97,36.4,2,0,36.4,33.8,0.3
98,36.5,2,0,35.2,32.1,1.7
99,36.2,2,0,32.7,31.6,0.7
100,32.2,1,1,32.2,32.0,1.5
101,30.7,1,1,32.2,32.0,1.5
102,31.0,1,1,32.2,32.0,1.5
103,30.9,1,1,32.2,32.0,1.5
104,30.8,0,1,31.6,30.6,1.3
105,30.4,0,1,31.6,30.6,1.5
106,30.4,1,1,33.2,31.6,2.2
107,32.8,1,1,32.8,31.5,0.5
108,32.5,0,1,32.3,31.1,1.3
109,31.6,0,1,31.3,30.6,0.7
110,30.4,0,1,32.8,31.5,0.5
111,32.5,1,1,31.7,30.8,0.7
